,Name,Age,Class/Dept,Ticket,Embarked,Job
0,"ABBING, Mr Anthony",42,3rd Class Passenger,5547£7               11s               ,Southampton,Blacksmith                             
1,"ABBOTT, Mrs Rhoda Mary 'Rosa'",39,3rd Class Passenger,CA2673£20               5s               ,Southampton,                             
2,"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673£20               5s               ,Southampton,Jeweller                             
3,"ABBOTT, Mr Eugene Joseph",14,3rd Class Passenger,CA2673£20               5s               ,Southampton,Scholar                             
4,"ABBOTT, Mr Ernest Owen",21,Victualling Crew, ,Southampton,Lounge Pantry Steward                             
5,"ABELSETH, Miss Karen Marie",16,3rd Class Passenger,348125£7               13s               ,Southampton,                             
6,"ABELSETH, Mr Olaus Jørgensen",25,3rd Class Passenger,348122£7               13s               ,Southampton,Farmer                             
7,"ABELSON, Mr Samuel",30,2nd Class Passenger,3381£24                             ,Cherbourg,                             
8,"ABELSON, Mrs ",28,2nd Class Passenger,3381£24                             ,Cherbourg,                             
9,"ABRAHAMSSON, Mr Abraham August Johannes",20,3rd Class Passenger,3101284£7               18s               6d,Southampton,                             
10,"ABRAHIM, Mrs Mary Sophie Halaut",18,3rd Class Passenger,2657£7               4s               7d,Cherbourg,                             
11,"ABRAMS, Mr William Thomas",33,Engineering Crew, ,Southampton,Fireman                             
12,"ÅDAHL, Mr Mauritz Nils Martin",30,3rd Class Passenger,7076£7               5s               ,Southampton,General Labourer                             
13,"ADAMS, Mr John",26,3rd Class Passenger,341826£8               1s               ,Southampton,                             
14,"ADAMS, Mr Robert John",26,Engineering Crew, ,Southampton,Fireman                             
15,"AHIER, Mr Percy Snowden",20,Victualling Crew, ,Southampton,Saloon Steward                             
16,"AHLIN, Mrs Johanna Persdotter",40,3rd Class Passenger,7546£9               9s               6d,Southampton,                             
17,"AKERMAN, Mr Albert Edward",31,Victualling Crew, ,Southampton,3rd Class Steward                             
18,"AKERMAN, Mr Joseph Francis",35,Victualling Crew, ,Southampton,Assistant Pantryman Steward                             
19,"AKS, Mrs Leah",18,3rd Class Passenger,392091£9               7s               ,Southampton,                             
20,"AKS, Master Frank Philip",10m,3rd Class Passenger,392091£9               7s               ,Southampton,                             
21,"ALBIMONA, Mr Nassef Cassem",26,3rd Class Passenger,2699£18               15s               9d,Cherbourg,                             
22,"ALDWORTH, Mr Charles Augustus",30,2nd Class PassengerServant,248744£13                             ,Southampton,Chauffeur                             
23,"ALEXANDER, Mr William",23,3rd Class Passenger,3474£7               17s               9d,Southampton,General Labourer                             
24,"ALHOMäKI, Mr Ilmari Rudolf",19,3rd Class Passenger,3101287£7               18s               6d,Southampton,General Labourer                             
25,"ALI, Mr Ahmed",24,3rd Class Passenger,3101311£7               1s               ,Southampton,General Labourer                             
26,"ALI, Mr William",25,3rd Class Passenger,3101312£7               1s               ,Southampton,General Labourer                             
27,"ALLAN, Mr Robert Spencer",36,Victualling Crew, ,Southampton,Bed Room Steward                             
28,"ALLARIA, Sig. Battista Antonio",22,Restaurant Staff, ,Southampton,Assistant Waiter                             
29,"ALLEN, Miss Elisabeth Walton",29,1st Class Passenger,24160£211               6s               9d,Southampton,                             
30,"ALLEN, Mr William Henry",35,3rd Class Passenger,373450£8               1s               ,Southampton,Tool Maker                             
31,"ALLEN, Mr Henry",32,Engineering Crew, ,Southampton,Fireman                             
32,"ALLEN, Mr Ernest Frederick",24,Engineering Crew, ,Southampton,Trimmer                             
33,"ALLEN, Mr George",26,Victualling Crew, ,Southampton,Scullion                             
